FilePath,SegmentPath,BottlenoseDolphin,CommonDolphin,Grampus_Risso'sDolphin,HarborPorpoise,KillerWhale,Long_FinnedPilotWhale,StripedDolphin,Background
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702602G_0.0_3.0.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702602G_0.0_3.0.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5801404R_51.0_54.0.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5801404R_51.0_54.0.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5801403Y_0_2.54.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5801403Y_0_2.54.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702602D_0_2.88.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702602D_0_2.88.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702602G_3.0_6.0.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702602G_3.0_6.0.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/7500304M_0_2.62.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/7500304M_0_2.62.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5801403W_0_2.03.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5801403W_0_2.03.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5801404R_21.0_24.0.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5801404R_21.0_24.0.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702604C_3.0_6.0.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702604C_3.0_6.0.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5801400V_0_1.35.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5801400V_0_1.35.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702604D_0.0_3.0.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702604D_0.0_3.0.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702602Z_0_1.89.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702602Z_0_1.89.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5801402O_0_1.81.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5801402O_0_1.81.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/57026022_0_1.54.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/57026022_0_1.54.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5801404R_42.0_45.0.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5801404R_42.0_45.0.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702602O_3.0_6.0.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702602O_3.0_6.0.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/8700300C_0_1.42.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/8700300C_0_1.42.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/57026035_0_2.85.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/57026035_0_2.85.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/75003056_0_0.99.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/75003056_0_0.99.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/75003041_0_2.31.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/75003041_0_2.31.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702601O_0_1.54.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702601O_0_1.54.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702603H_0.0_3.0.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702603H_0.0_3.0.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702603R_0.0_3.0.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702603R_0.0_3.0.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702607J_0_1.9.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702607J_0_1.9.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/57026008_3.0_6.0.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/57026008_3.0_6.0.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/57026046_0.0_3.0.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/57026046_0.0_3.0.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/7500304G_0_2.29.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/7500304G_0_2.29.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5801401T_0_0.97.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5801401T_0_0.97.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5801404R_48.0_51.0.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5801404R_48.0_51.0.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/7500304Q_0_0.22.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/7500304Q_0_0.22.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/7500305E_0_0.7.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/7500305E_0_0.7.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/8700301L_0_1.22.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/8700301L_0_1.22.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5801404R_6.0_9.0.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5801404R_6.0_9.0.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/75003043_0_1.95.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/75003043_0_1.95.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/57026008_0.0_3.0.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/57026008_0.0_3.0.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702604D_3.0_6.0.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702604D_3.0_6.0.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5801400F_0_0.87.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5801400F_0_0.87.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/58013002_0.0_3.0.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/58013002_0.0_3.0.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702600L_0_1.56.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702600L_0_1.56.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/57026049_0.0_3.0.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/57026049_0.0_3.0.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702604U_0.0_3.0.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702604U_0.0_3.0.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/7500302P_0_0.97.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/7500302P_0_0.97.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/8700300L_0_1.42.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/8700300L_0_1.42.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/8700301Y_0_0.77.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/8700301Y_0_0.77.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/57026049_3.0_6.0.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/57026049_3.0_6.0.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/58014029_0_1.76.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/58014029_0_1.76.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/7500302R_0_0.89.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/7500302R_0_0.89.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/87003007_0_1.42.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/87003007_0_1.42.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702604E_3.0_6.0.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702604E_3.0_6.0.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5801401I_3.0_6.0.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5801401I_3.0_6.0.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5801300F_0_2.47.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5801300F_0_2.47.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/58013002_3.0_6.0.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/58013002_3.0_6.0.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/57026070_0_0.96.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/57026070_0_0.96.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/58013012_0.0_3.0.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/58013012_0.0_3.0.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/8700301V_0_2.56.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/8700301V_0_2.56.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/87003018_3.0_6.0.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/87003018_3.0_6.0.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5801404R_3.0_6.0.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5801404R_3.0_6.0.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/8700302L_0_0.42.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/8700302L_0_0.42.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5801401I_0.0_3.0.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5801401I_0.0_3.0.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702601J_0_2.61.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702601J_0_2.61.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5801404R_9.0_12.0.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5801404R_9.0_12.0.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5801300L_0_2.75.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5801300L_0_2.75.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5801404R_30.0_33.0.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5801404R_30.0_33.0.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/8700302G_0_0.48.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/8700302G_0_0.48.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/7500305O_0_2.54.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/7500305O_0_2.54.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/8700302E_0_0.61.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/8700302E_0_0.61.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/57026065_0.0_3.0.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/57026065_0.0_3.0.wav,0,1,0,0,0,0,0,0
../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702602O_0.0_3.0.wav,../../Dataset/Audios/Watkins Marine Mammals/Segmented/CommonDolphin/5702602O_0.0_3.0.wav,0,1,0,0,0,0,0,0
