file,start_time,end_time,BottlenoseDolphin,CommonDolphin,Grampus_Risso'sDolphin,HarborPorpoise,KillerWhale,Long_FinnedPilotWhale,StripedDolphin,Background
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033003_102.0_105.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/84228A0J_0_1.12.wav,0,1.125,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_6.0_9.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_261.0_264.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_48.0_51.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033003_294.0_297.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420105C_0_1.56.wav,0,1.560063025210084,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_147.0_150.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/94201050_0_1.4.wav,0,1.399159663865546,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/89514012_0_1.3.wav,0,1.303125,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_315.0_318.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/94201074_0_0.5.wav,0,0.4976890756302521,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420107L_0_0.63.wav,0,0.6329831932773109,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033003_30.0_33.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420106G_0_0.37.wav,0,0.371344537815126,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_6.0_9.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420104W_0_1.59.wav,0,1.588046218487395,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_21.0_24.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_117.0_120.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_255.0_258.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/94201066_0_1.08.wav,0,1.07890756302521,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_18.0_21.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033003_213.0_216.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033003_189.0_192.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_276.0_279.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_24.0_27.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033003_135.0_138.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_243.0_246.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033003_261.0_264.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_75.0_78.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_57.0_60.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/51041C01_0_0.97.wav,0,0.9715333333333334,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_297.0_300.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033003_147.0_150.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_144.0_147.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_123.0_126.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_15.0_18.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_87.0_90.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/89514002_0_1.12.wav,0,1.125,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420106L_0_0.4.wav,0,0.3979831932773109,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/89514001_0_1.12.wav,0,1.125,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_228.0_231.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_120.0_123.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033003_18.0_21.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_21.0_24.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_0.0_3.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_147.0_150.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_30.0_33.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420104B_0_1.56.wav,0,1.5615126050420167,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_42.0_45.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_201.0_204.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_54.0_57.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420106J_0_0.73.wav,0,0.7341176470588235,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_228.0_231.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033003_24.0_27.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_231.0_234.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033003_291.0_294.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_246.0_249.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033003_54.0_57.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033003_252.0_255.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033003_99.0_102.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_261.0_264.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/56006003_0_1.17.wav,0,1.1716171617161717,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420107H_0_1.36.wav,0,1.3577731092436975,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_84.0_87.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033003_138.0_141.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/84228A0I_0_1.5.wav,0,1.5,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_294.0_297.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420105H_0_0.8.wav,0,0.8045168067226891,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/94201048_0_1.13.wav,0,1.1284873949579832,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420105O_0_1.14.wav,0,1.14031512605042,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420106I_0_0.61.wav,0,0.613109243697479,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_93.0_96.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/94201055_0_1.78.wav,0,1.7769327731092437,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_3.0_6.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033003_3.0_6.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_129.0_132.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_39.0_42.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_318.0_321.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/5600600H_0_1.15.wav,0,1.1528712871287128,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_138.0_141.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_279.0_282.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420105W_0_0.48.wav,0,0.4827100840336134,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033003_309.0_312.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_36.0_39.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/84228A08_0_1.5.wav,0,1.5,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420105U_0_0.94.wav,0,0.937436974789916,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_27.0_30.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420105G_0_0.78.wav,0,0.7835294117647059,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/89514017_0_1.3.wav,0,1.303125,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_273.0_276.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/84228A04_0_1.88.wav,0,1.875,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420104D_0_1.16.wav,0,1.1642857142857144,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_303.0_306.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_291.0_294.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033003_63.0_66.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033003_87.0_90.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_129.0_132.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_306.0_309.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_186.0_189.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033003_78.0_81.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033003_84.0_87.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420105Y_0_0.65.wav,0,0.6515756302521009,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420106D_0_1.24.wav,0,1.2423529411764709,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_117.0_120.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033003_273.0_276.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/84228A02_0_1.12.wav,0,1.125,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033003_225.0_228.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_276.0_279.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_234.0_237.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420106Q_0_1.09.wav,0,1.0871848739495795,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_219.0_222.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033003_15.0_18.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033003_144.0_147.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_192.0_195.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_198.0_201.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033003_156.0_159.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_90.0_93.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033003_114.0_117.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_171.0_174.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033003_246.0_249.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033003_75.0_78.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033003_171.0_174.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033005_306.0_309.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033003_318.0_321.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/9420104O_0_2.07.wav,0,2.069495798319328,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033003_183.0_186.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033004_84.0_87.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033003_270.0_273.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033003_186.0_189.0.wav,0,3.0,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/84228005_0_1.2.wav,0,1.1953125,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/94201060_0_0.72.wav,0,0.7196638655462185,True,False,False,False,False,False,False,False
../../Dataset/Audios/Watkins Marine Mammals/Segmented/BottlenoseDolphin/90033003_276.0_279.0.wav,0,3.0,True,False,False,False,False,False,False,False
