SegmentedAudioPath,OriginalAudioPath,StartSecond,EndSecond,StartSample,EndSample,Class
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-01-24_37.0_37.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-01-24.wav,37.0,37.0,9472001,9728000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-01-24_47.0_48.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-01-24.wav,47.0,48.0,12032001,12544000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-01-24_54.0_55.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-01-24.wav,54.0,55.0,13824001,14336000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-02-24_3.0_3.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-02-24.wav,3.0,3.0,768001,1024000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-02-24_6.0_6.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-02-24.wav,6.0,6.0,1536001,1792000,CLICK
../Dataset/Audios/SegmentedAudios/UNKNOWN3_BUBBLE_1kHz/channelA_2024-05-28_00-02-24_21.0_22.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-02-24.wav,21.0,22.0,5376001,5888000,UNKNOWN3_BUBBLE_1kHz
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-02-24_35.0_35.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-02-24.wav,35.0,35.0,8960001,9216000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-02-24_40.0_40.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-02-24.wav,40.0,40.0,10240001,10496000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-02-24_47.0_47.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-02-24.wav,47.0,47.0,12032001,12288000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-03-24_2.0_2.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-03-24.wav,2.0,2.0,512001,768000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-03-24_7.0_7.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-03-24.wav,7.0,7.0,1792001,2048000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-03-24_9.0_10.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-03-24.wav,9.0,10.0,2304001,2816000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-03-24_26.0_26.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-03-24.wav,26.0,26.0,6656001,6912000,CLICK
../Dataset/Audios/SegmentedAudios/UNKNOWN3_BUBBLE_1kHz/channelA_2024-05-28_00-03-24_49.0_50.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-03-24.wav,49.0,50.0,12544001,13056000,UNKNOWN3_BUBBLE_1kHz
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-03-24_50.0_54.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-03-24.wav,50.0,54.0,12800001,14080000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-03-24_58.0_58.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-03-24.wav,58.0,58.0,14848001,15104000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-04-24_4.0_5.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-04-24.wav,4.0,5.0,1024001,1536000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-04-24_10.0_11.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-04-24.wav,10.0,11.0,2560001,3072000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-04-24_18.0_19.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-04-24.wav,18.0,19.0,4608001,5120000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-04-24_25.0_25.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-04-24.wav,25.0,25.0,6400001,6656000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-04-24_27.0_27.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-04-24.wav,27.0,27.0,6912001,7168000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-04-24_49.0_49.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-04-24.wav,49.0,49.0,12544001,12800000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-04-24_51.0_51.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-04-24.wav,51.0,51.0,13056001,13312000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-05-24_23.0_23.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-05-24.wav,23.0,23.0,5888001,6144000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-06-24_33.0_33.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-06-24.wav,33.0,33.0,8448001,8704000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-06-24_35.0_35.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-06-24.wav,35.0,35.0,8960001,9216000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-07-24_32.0_32.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-07-24.wav,32.0,32.0,8192001,8448000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-07-24_37.0_37.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-07-24.wav,37.0,37.0,9472001,9728000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-07-24_44.0_45.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-07-24.wav,44.0,45.0,11264001,11776000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-07-24_51.0_51.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-07-24.wav,51.0,51.0,13056001,13312000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-08-24_24.0_24.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-08-24.wav,24.0,24.0,6144001,6400000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-08-24_28.0_28.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-08-24.wav,28.0,28.0,7168001,7424000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-08-24_37.0_37.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-08-24.wav,37.0,37.0,9472001,9728000,CLICK
../Dataset/Audios/SegmentedAudios/Breath1KHz/channelA_2024-05-28_00-08-24_39.0_40.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-08-24.wav,39.0,40.0,9984001,10496000,Breath1KHz
../Dataset/Audios/SegmentedAudios/Breath1KHz/channelA_2024-05-28_00-08-24_42.0_44.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-08-24.wav,42.0,44.0,10752001,11520000,Breath1KHz
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-08-24_44.0_45.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-08-24.wav,44.0,45.0,11264001,11776000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-08-24_53.0_53.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-08-24.wav,53.0,53.0,13568001,13824000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-09-24_3.0_3.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-09-24.wav,3.0,3.0,768001,1024000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-09-24_13.0_13.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-09-24.wav,13.0,13.0,3328001,3584000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-09-24_18.0_18.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-09-24.wav,18.0,18.0,4608001,4864000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-09-24_20.0_20.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-09-24.wav,20.0,20.0,5120001,5376000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-09-24_24.0_24.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-09-24.wav,24.0,24.0,6144001,6400000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-09-24_53.0_53.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-09-24.wav,53.0,53.0,13568001,13824000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-10-24_5.0_6.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-10-24.wav,5.0,6.0,1280001,1792000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-10-24_9.0_9.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-10-24.wav,9.0,9.0,2304001,2560000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-10-24_20.0_20.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-10-24.wav,20.0,20.0,5120001,5376000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-10-24_22.0_23.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-10-24.wav,22.0,23.0,5632001,6144000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-10-24_36.0_37.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-10-24.wav,36.0,37.0,9216001,9728000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-10-24_46.0_46.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-10-24.wav,46.0,46.0,11776001,12032000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-10-24_50.0_50.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-10-24.wav,50.0,50.0,12800001,13056000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-10-24_55.0_55.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-10-24.wav,55.0,55.0,14080001,14336000,CLICK
../Dataset/Audios/SegmentedAudios/UNKNOWN1/channelA_2024-05-28_00-11-24_52.0_52.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-11-24.wav,52.0,52.0,13312001,13568000,UNKNOWN1
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-12-24_15.0_15.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-12-24.wav,15.0,15.0,3840001,4096000,CLICK
../Dataset/Audios/SegmentedAudios/UNKNOWN3_BUBBLE_1kHz/channelA_2024-05-28_00-12-24_32.0_33.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-12-24.wav,32.0,33.0,8192001,8704000,UNKNOWN3_BUBBLE_1kHz
../Dataset/Audios/SegmentedAudios/UNKNOWN3_BUBBLE_1kHz/channelA_2024-05-28_00-12-24_37.0_38.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-12-24.wav,37.0,38.0,9472001,9984000,UNKNOWN3_BUBBLE_1kHz
../Dataset/Audios/SegmentedAudios/UNKNOWN3_BUBBLE_1kHz/channelA_2024-05-28_00-12-24_49.0_51.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-12-24.wav,49.0,51.0,12544001,13312000,UNKNOWN3_BUBBLE_1kHz
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-12-24_50.0_50.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-12-24.wav,50.0,50.0,12800001,13056000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-12-24_54.0_54.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-12-24.wav,54.0,54.0,13824001,14080000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-13-24_13.0_13.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-13-24.wav,13.0,13.0,3328001,3584000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-13-24_17.0_17.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-13-24.wav,17.0,17.0,4352001,4608000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-13-24_40.0_40.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-13-24.wav,40.0,40.0,10240001,10496000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-13-24_44.0_44.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-13-24.wav,44.0,44.0,11264001,11520000,CLICK
../Dataset/Audios/SegmentedAudios/Breath1KHz/channelA_2024-05-28_00-13-24_47.0_47.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-13-24.wav,47.0,47.0,12032001,12288000,Breath1KHz
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-13-24_47.0_47.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-13-24.wav,47.0,47.0,12032001,12288000,CLICK
../Dataset/Audios/SegmentedAudios/Breath1KHz/channelA_2024-05-28_00-13-24_50.0_52.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-13-24.wav,50.0,52.0,12800001,13568000,Breath1KHz
../Dataset/Audios/SegmentedAudios/Breath1KHz/channelA_2024-05-28_00-13-24_58.0_59.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-13-24.wav,58.0,59.0,14848001,15360000,Breath1KHz
../Dataset/Audios/SegmentedAudios/Golpe/channelA_2024-05-28_00-14-24_21.0_22.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-14-24.wav,21.0,22.0,5376001,5888000,Golpe
../Dataset/Audios/SegmentedAudios/Breath1KHz/channelA_2024-05-28_00-14-24_29.0_30.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-14-24.wav,29.0,30.0,7424001,7936000,Breath1KHz
../Dataset/Audios/SegmentedAudios/Breath1KHz/channelA_2024-05-28_00-14-24_47.0_47.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-14-24.wav,47.0,47.0,12032001,12288000,Breath1KHz
../Dataset/Audios/SegmentedAudios/Breath1KHz/channelA_2024-05-28_00-14-24_49.0_49.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-14-24.wav,49.0,49.0,12544001,12800000,Breath1KHz
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-15-24_14.0_14.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-15-24.wav,14.0,14.0,3584001,3840000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-15-24_19.0_19.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-15-24.wav,19.0,19.0,4864001,5120000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-15-24_22.0_23.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-15-24.wav,22.0,23.0,5632001,6144000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-15-24_29.0_29.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-15-24.wav,29.0,29.0,7424001,7680000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-15-24_33.0_35.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-15-24.wav,33.0,35.0,8448001,9216000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-15-24_38.0_38.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-15-24.wav,38.0,38.0,9728001,9984000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-15-24_52.0_52.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-15-24.wav,52.0,52.0,13312001,13568000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-16-24_7.0_8.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-16-24.wav,7.0,8.0,1792001,2304000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-16-24_18.0_19.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-16-24.wav,18.0,19.0,4608001,5120000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-16-24_21.0_21.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-16-24.wav,21.0,21.0,5376001,5632000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-16-24_23.0_23.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-16-24.wav,23.0,23.0,5888001,6144000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-16-24_28.0_28.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-16-24.wav,28.0,28.0,7168001,7424000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-16-24_33.0_34.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-16-24.wav,33.0,34.0,8448001,8960000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-16-24_39.0_39.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-16-24.wav,39.0,39.0,9984001,10240000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-16-24_43.0_45.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-16-24.wav,43.0,45.0,11008001,11776000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-16-24_47.0_48.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-16-24.wav,47.0,48.0,12032001,12544000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-16-24_51.0_51.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-16-24.wav,51.0,51.0,13056001,13312000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-16-24_53.0_54.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-16-24.wav,53.0,54.0,13568001,14080000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-17-24_2.0_2.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-17-24.wav,2.0,2.0,512001,768000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-17-24_7.0_7.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-17-24.wav,7.0,7.0,1792001,2048000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-17-24_25.0_26.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-17-24.wav,25.0,26.0,6400001,6912000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-17-24_32.0_32.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-17-24.wav,32.0,32.0,8192001,8448000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-17-24_34.0_34.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-17-24.wav,34.0,34.0,8704001,8960000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-17-24_49.0_49.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-17-24.wav,49.0,49.0,12544001,12800000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-17-24_52.0_52.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-17-24.wav,52.0,52.0,13312001,13568000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-17-24_54.0_54.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-17-24.wav,54.0,54.0,13824001,14080000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-17-24_56.0_56.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-17-24.wav,56.0,56.0,14336001,14592000,CLICK
../Dataset/Audios/SegmentedAudios/Breath1KHz/channelA_2024-05-28_00-18-24_10.0_11.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-18-24.wav,10.0,11.0,2560001,3072000,Breath1KHz
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-18-24_19.0_19.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-18-24.wav,19.0,19.0,4864001,5120000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-18-24_22.0_23.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-18-24.wav,22.0,23.0,5632001,6144000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-18-24_29.0_29.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-18-24.wav,29.0,29.0,7424001,7680000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-18-24_32.0_33.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-18-24.wav,32.0,33.0,8192001,8704000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-18-24_35.0_35.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-18-24.wav,35.0,35.0,8960001,9216000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-18-24_37.0_37.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-18-24.wav,37.0,37.0,9472001,9728000,CLICK
../Dataset/Audios/SegmentedAudios/Breath1KHz/channelA_2024-05-28_00-18-24_43.0_45.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-18-24.wav,43.0,45.0,11008001,11776000,Breath1KHz
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-18-24_52.0_53.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-18-24.wav,52.0,53.0,13312001,13824000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-18-24_55.0_56.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-18-24.wav,55.0,56.0,14080001,14592000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-19-24_3.0_4.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-19-24.wav,3.0,4.0,768001,1280000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-19-24_10.0_13.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-19-24.wav,10.0,13.0,2560001,3584000,CLICK
../Dataset/Audios/SegmentedAudios/Breath1KHz/channelA_2024-05-28_00-19-24_16.0_17.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-19-24.wav,16.0,17.0,4096001,4608000,Breath1KHz
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-19-24_16.0_17.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-19-24.wav,16.0,17.0,4096001,4608000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-19-24_25.0_26.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-19-24.wav,25.0,26.0,6400001,6912000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-19-24_31.0_31.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-19-24.wav,31.0,31.0,7936001,8192000,CLICK
../Dataset/Audios/SegmentedAudios/CLICK/channelA_2024-05-28_00-19-24_37.0_37.0.wav,../Dataset/Audios/Full/channelA_2024-05-28_00-19-24.wav,37.0,37.0,9472001,9728000,CLICK
